[ID]	ENGLISH                                           MIYASAN                                           CLASS                                             
117	basket                                            hazo                                              noun
118	air                                               hea                                               noun
119	to be empty                                       heakira                                           verb
120	to be bright                                      hessa                                             verb
121	black                                             hessisaka                                         noun
122	black                                             hessisaka                                         noun
123	to begin ...                                      hikira                                            verb; i-clitic
124	matter                                            hinda                                             noun
125	to frighten                                       hurira                                            verb
126	to be fast                                        hyatta                                            verb
127	race                                              hyattikıavari                                     noun
128	to help                                           imira                                             verb
129	to be straight                                    indhura                                           verb
130	to bring                                          iraka                                             verb
131	east                                              irdahe                                            noun
132	to be united                                      issa                                              verb
133	hall, auditorium                                  isída                                             noun
134	router                                            ithisa                                            noun
135	computer network                                  ithisadéri                                        noun
136	to be blue                                        ityola                                            verb
137	or                                                ize                                               particle
138	but                                               kai                                               conjunction
139	rock                                              kata                                              noun
140	to give                                           katta                                             verb
141	to throw                                          katta                                             verb
142	to fight                                          kaza                                              verb
143	to split                                          kazda                                             verb
144	leave                                             kesala                                            verb
145	leaf                                              kesalima                                          noun
146	lightt                                            kessi                                             noun
147	to be blond                                       kessiarila                                        verb
148	to be good                                        keza                                              verb
149	fun                                               kezesenéri                                        noun
150	to move                                           kina                                              verb
151	to smell                                          kisva                                             verb
152	person                                            kita                                              noun
153	to be famous                                      kitasenérida                                      verb
154	to set                                            kudıva                                            verb
155	to love (fpo)                                     kula                                              verb
156	to date (a person)                                kulidéra                                          verb
157	to marry (intr)                                   kuliissa                                          verb
158	beloved person                                    kulikita                                          noun
159	to put                                            kurka                                             verb
160	to be brave                                       kuzarána                                          verb
161	to push                                           kyaera                                            verb
162	force                                             kyaeri                                            noun
163	to be strong                                      kyara                                             verb
164	to pass (time)                                    kára                                              verb
165	time                                              kári                                              noun
166	computer                                          kínanu                                            noun
167	to compete                                        kıavara                                           verb
168	wide/fat                                          kıhtara                                           verb
169	to be other                                       kıssa                                             verb
170	to be hard                                        kızıra                                            verb
171	west                                              lafahe                                            noun
172	to taste                                          lakra                                             verb
173	to be last                                        lanta                                             verb
174	to talk                                           lemma                                             verb
175	to agree                                          lemmidéra                                         verb
176	word                                              lemmisi                                           noun
177	to tremble                                        lilira                                            verb
178	ground                                            linta                                             noun
179	to be low                                         lintanla                                          verb
180	to learn, study                                   lirana                                            verb
181	shoulder                                          lolo                                              noun
182	bird                                              lyetta                                            noun
183	always                                            mahe                                              adverb
184	truth                                             mahta                                             noun
185	to be correct                                     mahtakira                                         verb
186	to be wrong                                       mahtakiremána                                     verb
187	wing                                              mahtan                                            noun
188	to be general                                     marda                                             verb
189	flower                                            marimo                                            noun
190	to buy                                            masara                                            verb
191	to be ordered                                     melema                                            verb
192	what                                              mesimi                                            intp
193	how                                               meya                                              inta
194	to be small                                       mikima                                            verb
195	again                                             mil                                               adverb
196	to meet again                                     mildéra                                           verb
197	to recall                                         milsenéra                                         verb
198	to sleep                                          mimara                                            verb
199	this                                              min-                                              affix
200	sky                                               minda                                             noun
201	to be high                                        mindanla                                          verb
202	to find                                           minetaka                                          verb
203	to come                                           minkina                                           verb
204	this one                                          minni                                             noun
205	to be near                                        mintha                                            verb
206	to be correct                                     miresa                                            verb
207	to correct                                        miresisa                                          verb
208	some                                              mirimiri                                          irr. attr.
209	friend                                            mirinı                                            noun
210	to be heavy                                       moyarna                                           verb
211	to complete/end                                   mozaka                                            verb; i-clitic
212	bottle                                            muhata                                            noun
213	north                                             muna                                              noun
214	meat                                              munu                                              noun
215	to be round                                       myamyara                                          verb
216	plain                                             myéra                                             noun
217	to wear                                           máka                                              verb
218	to be yello                                       mínıssa                                           verb
219	water                                             nalima                                            noun
220	to be wet                                         nalimakira                                        verb
221	to create                                         nara                                              verb
222	beginning                                         naro                                              noun
223	birthday                                          narondikári                                       noun
224	nari                                              narya                                             clausal postposition
225	so (many, big)                                    naya                                              adverb
226	south                                             nazaha                                            noun
227	to hope                                           neldira                                           verb
228	to be long                                        nitera                                            verb
229	beverage                                          noun                                              tyewisimi
230	the past                                          numan                                             noun
231	still                                             nán                                               adverb
232	to feel                                           néra                                              verb
233	to be sad                                         níla                                              verb
234	to shallowly love romantically                    nıhtara                                           verb
235	to casually date                                  nıhtaridéra                                       verb
236	male person                                       ordikita                                          noun
237	to be male                                        ordina                                            verb
238	park                                              parkı                                             noun, loan
239	fish                                              parmanu                                           noun
240	place                                             pata                                              noun
241	to be large                                       pelva                                             verb
242	cold                                              pinta                                             verb
243	to be one                                         punna                                             verb
244	hat                                               pıtúra                                            noun
245	method                                            rina                                              noun
246	to write                                          saha                                              verb
247	color                                             saka                                              noun
248	to be free                                        samma                                             verb
249	to be holy                                        sankta                                            verb (loan)
250	to take                                           sarena                                            verb
251	to be flat                                        sasaya                                            verb
252	to be awesome                                     sattera                                           verb
253	otherwise                                         semarya                                           adverb
254	to think about                                    senéra                                            verb
255	thing                                             simi                                              noun
256	often                                             simisimi                                          adverb
257	to be different                                   sinaka                                            verb
258	to be seven                                       sonora                                            verb
259	star                                              síle                                              noun
260	to see                                            taka                                              verb
261	to be red                                         takara                                            verb
262	glasses                                           takisimi                                          noun
263	to build                                          takora                                            verb
264	to be beautiful                                   talyata                                           verb
265	structure                                         tandá                                             noun
266	to travel                                         tarina                                            verb
267	marimo                                            taská                                             noun
268	to read                                           tassa                                             verb
269	to be happy                                       tefta                                             verb
270	to party                                          teftidéra                                         verb
271	party                                             teftidéri                                         noun
272	that                                              tel-                                              affix
273	to go                                             telkina                                           verb
274	that one (it/he)                                  telli                                             noun
275	storm                                             temlano                                           noun
276	entirety                                          tenna                                             noun
277	nut                                               thaka                                             noun
278	head                                              thána                                             noun
279	tree                                              tilara                                            noun
280	river                                             tilba                                             noun
281	block/brick                                       tolla                                             noun
282	very                                              tona                                              verbal postposition
283	JP "suru"                                         tuda                                              aux. verb
284	chicken                                           tyikki                                            noun (loan)
285	wall                                              tyuna                                             noun
286	edge                                              táye                                              noun
287	building                                          télana                                            noun
288	to sell                                           ura                                               verb
289	to end                                            usilda                                            verb
290	to be old                                         uturna                                            verb
291	to drink                                          verb                                              tyewa
292	to be two                                         verb                                              mella
293	to want to ...                                    verb; i-clitic                                    riza
294	to be evil                                        vunda                                             verb
295	wave                                              wari                                              noun
296	to be gentle                                      wena                                              verb
297	to be full                                        yarnikira                                         verb
298	bag                                               yompo                                             noun
299	to be able to                                     yona                                              verb; i-clitic
300	to reach                                          yunta                                             verb
301	to rest                                           yúsıra                                            verb
302	vacation                                          yúsırikári                                        noun
303	to fall                                           zahídra                                           verb
304	to be great                                       zarelda                                           verb
305	to be many                                        íarna                                             verb
306	amount                                            íarni                                             noun
307	dream                                             ímana                                             noun
308	to know                                           ótúra                                             verb
309	to hate                                           ózúra                                             verb

